matcher,metric,spearman_rho,p_value,n_datasets,abs_rho,n_tests,p_bonferroni,survives_bonferroni,p_fdr,survives_fdr
paris,property_distribution.pair.mean_rel_entropy_norm,-0.8470588235294119,3.468046484915083e-05,16,0.8470588235294119,48,0.0016646623127592399,True,0.0016646623127592399,True
paris,degree_distribution.pair.mean_total_degree,0.42352941176470593,0.10210932208599749,16,0.42352941176470593,48,1.0,False,0.3224222381979014,False
paris,degree_distribution.pair.min_median_total_degree,0.3950280227017628,0.12994570212123963,16,0.3950280227017628,48,1.0,False,0.3660843297940836,False
paris,degree_distribution.pair.mean_degree_gini,-0.38823529411764707,0.13728162367278135,16,0.38823529411764707,48,1.0,False,0.3660843297940836,False
paris,attribute_completeness.pair.mean_attr_per_entity,0.3,0.2589364525624988,16,0.3,48,1.0,False,0.45233659648032454,False
paris,attribute_completeness.pair.min_share_entities_with_attribute,0.29705882352941176,0.26386301461352263,16,0.29705882352941176,48,1.0,False,0.45233659648032454,False
paris,alignment_reachability.share_pairs_both_in_lcc,0.2764705882352941,0.29994212849237334,16,0.2764705882352941,48,1.0,False,0.49645593681496275,False
paris,connectivity.pair.min_share_largest_cc,0.2588235294117647,0.3330723066336084,16,0.2588235294117647,48,1.0,False,0.528858240263373,False
paris,degree_distribution.kg1.powerlaw_alpha,-0.18235294117647058,0.4990748572458002,16,0.18235294117647058,48,1.0,False,0.7486122858687003,False
paris,aligned_consistency.degree_spearman,0.1647058823529412,0.542148135201078,16,0.1647058823529412,48,1.0,False,0.765385602636816,False
paris,basic_stats.kg1.attr_to_rel_ratio,-0.1323529411764706,0.6251064291516133,16,0.1323529411764706,48,1.0,False,0.7870724447996761,False
paris,attribute_completeness.pair.mean_share_literals_text,0.1176470588235294,0.6643410791623537,16,0.1176470588235294,48,1.0,False,0.7870724447996761,False
paris,basic_stats.pair.n_triples_total,0.0823529411764706,0.7617330787524739,16,0.0823529411764706,48,1.0,False,0.8125152840026388,False
paris,basic_stats.kg2.attr_to_rel_ratio,-0.06764705882352941,0.8034203137966693,16,0.06764705882352941,48,1.0,False,0.8383516317878288,False
paris,aligned_consistency.literal_value_jaccard.mean,-0.0588235294117647,0.8286807500332257,16,0.0588235294117647,48,1.0,False,0.8463122553530816,False
paris,schema_heterogeneity.property_jaccard,0.01570805501960739,0.9539570122388745,16,0.01570805501960739,48,1.0,False,0.9539570122388744,False
structural_propagation,property_distribution.pair.mean_rel_entropy_norm,-0.7235294117647059,0.0015344811898239557,16,0.7235294117647059,48,0.07365509711154987,False,0.036827548555774935,True
structural_propagation,degree_distribution.pair.min_median_total_degree,0.6794481990470319,0.0037908308618865476,16,0.6794481990470319,48,0.1819598813705543,False,0.038479222946009854,True
structural_propagation,degree_distribution.pair.mean_total_degree,0.6764705882352942,0.00400825239020936,16,0.6764705882352942,48,0.19239611473004928,False,0.038479222946009854,True
structural_propagation,alignment_reachability.share_pairs_both_in_lcc,0.6235294117647059,0.009855650390922002,16,0.6235294117647059,48,0.47307121876425606,False,0.07884520312737602,False
structural_propagation,connectivity.pair.min_share_largest_cc,0.6088235294117647,0.01231520319824646,16,0.6088235294117647,48,0.5911297535158301,False,0.08444710764511858,False
structural_propagation,degree_distribution.pair.mean_degree_gini,-0.5941176470588235,0.015232400876327995,16,0.5941176470588235,48,0.7311552420637437,False,0.09139440525796796,False
structural_propagation,attribute_completeness.pair.min_share_entities_with_attribute,0.55,0.027293972709730583,16,0.55,48,1.0,False,0.1310110690067068,False
structural_propagation,degree_distribution.kg1.powerlaw_alpha,-0.5323529411764706,0.03376862296023463,16,0.5323529411764706,48,1.0,False,0.13980802715807217,False
structural_propagation,attribute_completeness.pair.mean_attr_per_entity,0.5294117647058824,0.03495200678951804,16,0.5294117647058824,48,1.0,False,0.13980802715807217,False
structural_propagation,basic_stats.kg1.attr_to_rel_ratio,-0.5117647058823529,0.042723448163331804,16,0.5117647058823529,48,1.0,False,0.157748116295379,False
structural_propagation,aligned_consistency.literal_value_jaccard.mean,-0.4176470588235294,0.10747407939930047,16,0.4176470588235294,48,1.0,False,0.3224222381979014,False
structural_propagation,basic_stats.pair.n_triples_total,0.3323529411764706,0.2084998279822082,16,0.3323529411764706,48,1.0,False,0.43513007578895624,False
structural_propagation,schema_heterogeneity.property_jaccard,-0.25447049131763977,0.3415542801700951,16,0.25447049131763977,48,1.0,False,0.528858240263373,False
structural_propagation,aligned_consistency.degree_spearman,-0.17352941176470588,0.5204075144487407,16,0.17352941176470588,48,1.0,False,0.7569563846527138,False
structural_propagation,basic_stats.kg2.attr_to_rel_ratio,-0.11470588235294117,0.6722910465997233,16,0.11470588235294117,48,1.0,False,0.7870724447996761,False
structural_propagation,attribute_completeness.pair.mean_share_literals_text,0.09999999999999999,0.7125163701282782,16,0.09999999999999999,48,1.0,False,0.7950702840261609,False
value_overlap,basic_stats.pair.n_triples_total,-0.6970588235294117,0.0026905894025605944,16,0.6970588235294117,48,0.12914829132290853,False,0.038479222946009854,True
value_overlap,schema_heterogeneity.property_jaccard,0.5529235366901802,0.0263202928665135,16,0.5529235366901802,48,1.0,False,0.1310110690067068,False
value_overlap,aligned_consistency.degree_spearman,0.5029411764705883,0.04706314046727304,16,0.5029411764705883,48,1.0,False,0.16135933874493613,False
value_overlap,attribute_completeness.pair.mean_share_literals_text,-0.34705882352941175,0.18783442010629955,16,0.34705882352941175,48,1.0,False,0.43513007578895624,False
value_overlap,basic_stats.kg1.attr_to_rel_ratio,0.3382352941176471,0.20006555877868956,16,0.3382352941176471,48,1.0,False,0.43513007578895624,False
value_overlap,attribute_completeness.pair.min_share_entities_with_attribute,-0.33529411764705885,0.20425458084551504,16,0.33529411764705885,48,1.0,False,0.43513007578895624,False
value_overlap,alignment_reachability.share_pairs_both_in_lcc,-0.33529411764705885,0.20425458084551504,16,0.33529411764705885,48,1.0,False,0.43513007578895624,False
value_overlap,connectivity.pair.min_share_largest_cc,-0.31764705882352945,0.2305734636218452,16,0.31764705882352945,48,1.0,False,0.45233659648032454,False
value_overlap,aligned_consistency.literal_value_jaccard.mean,0.30882352941176466,0.24449869579851782,16,0.30882352941176466,48,1.0,False,0.45233659648032454,False
value_overlap,degree_distribution.pair.mean_total_degree,-0.3029411764705882,0.25406688060961136,16,0.3029411764705882,48,1.0,False,0.45233659648032454,False
value_overlap,degree_distribution.pair.min_median_total_degree,-0.1485305365358628,0.5830130714637148,16,0.1485305365358628,48,1.0,False,0.7870724447996761,False
